"id","code","name"
1,11016,CIENCIAS DE LA ADMINISTRACION AEROESPACIAL
2,21016,ADMINISTRACIÓN Y CIENCIAS POLICIALES
3,11026,CIENCIAS MILITARES
4,11036,CIENCIAS ADMINISTRATIVAS MARÍTIMAS
5,21015,ADMINISTRACIÓN Y CIENCIAS POLICIALES
6,11055,FUERZAS ESPECIALES
7,11115,SEGURIDAD E INSTRUCCIÓN MILITAR
8,11045,DEFENSA AÉREA
9,531015,AEROFOTOGRAFÍA
10,414015,METEOROLOGÍA
11,525025,ELECTRONICA AERONÁUTICA
12,526045,MANTENIMIENTO DE AERONAVES
13,331025,ADMINISTRACIÓN
14,11075,INTELIGENCIA
15,512025,SISTEMAS DE TELECOMUNICACIONES
16,441125,INFORMÁTICA
17,526055,MANTENIMIENTO DE ESTRUCTURAS
18,526095,"MANTENIMIENTO DE MOTORES, HÉLICES Y UNIDADES DE POTENCIA AUXILIAR"
19,526115,MANTENIMIENTO Y OPERACIÓN DE ARMAMENTO Y EQUIPOS AUXILIARES
20,526105,"MANTENIMIENTO DE EQUIPOS DE APOYO TERRESTRE, VEHÍCULOS MOTORIZADOS Y CONTRAINCENDIO"
21,531025,CONSTRUCCIÓN CIVIL
22,342075,FINANZAS
23,331015,ABASTECIMIENTO
24,714035,ENFERMERÍA TÉCNICA
25,716015,FARMACIA
26,224045,MÚSICA
27,524015,ELECTRICIDAD
28,525015,ELECTRÓNICA
29,714035,ENFERMERÍA TÉCNICA
30,11015,ARMAS SUBMARINAS
31,11025,ARTILLERÍA
32,11035,CAPITANÍA Y GUARDACOSTAS
33,413015,HIDROGRAFÍA Y NAVEGACIÓN
34,11065,INFANTERÍA DE MARINA
35,11075,INTELIGENCIA
36,11085,MANIOBRAS
37,526125,MÁQUINAS NAVALES
38,526145,MECÁNICA AERONAVAL
39,526205,MOTORES
40,11095,OPERACIONES ESPECIALES
41,11105,POLICÍA NAVAL
42,441145,PROCESAMIENTO DE DATOS
43,337025,SECRETARIADO EJECUTIVO
44,11125,MANUEL JESUS DIAZ MURRUGARRA
45,512075,MANUEL MESONES MURO - MASTER SYSTEM
46,714035,MANUEL NUÑEZ BUTRON
47,526135,MANUEL SCORZA TORRE
48,526165,MANUEL SEOANE CORRALES
49,526085,MANUEL YARLEQUE ESPINOZA
50,512065,MAÑAZO
51,526185,MARCO
52,526035,MARIA DE LOS ANGELES CIMAS
53,611035,MARIA ELENA MOYANO
54,321015,MARIA MONTESSORI
55,331025,MARIA PARADO DE BELLIDO-HUAMANGA
56,224045,MARIA PARADO DE BELLIDO-SAN MARTIN
57,332125,MARIA ROSARIO ARAOZ PINTO
58,441095,MARIANO BONIN
59,531055,MARIANO IBERICO RODRIGUEZ
