"id","code","name"
1,181000003,"ESCUELA DE OFICIALES DE LA FUERZA AÉREA DEL PERÚ. CAPITAN FAP ""JOSÉ QUIÑONES GONZALES"""
2,181000004,ESCUELA DE OFICIALES DE LA POLICÍA NACIONAL DEL PERÚ
3,181000001,"ESCUELA MILITAR DEL PERÚ ""CORONEL FRANCISCO BOLOGNESI"""
4,181000002,ESCUELA NAVAL DEL PERÚ
5,182000004,ESCUELA TECNICA SUPERIOR DE LA POLICIA NACIONAL DEL PERÚ
6,182000003,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO AERONÁUTICO FUERZA AÉREA DEL PERÚ
7,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN
8,182000002,INSTITUTO SUPERIOR TECNOLÓGICO PÚBLICO DEL EJERCITO
9,170209858,ACAD. MUSICA Y DANZAS
10,271114933,ANTONIO RUIZ DE MONTOYA
11,171114776,ARTE DRAMÁTICO “GUILLERMO UGARTE CHAMORRO”
12,271468180,ARTE NEGOCIOS Y TECNOLOGIA
13,171061894,BELLAS ARTES “DIEGO QUISPE TITO” CALCA
14,171062439,BELLAS ARTES “DIEGO QUISPE TITO” DEL CUSCO
15,170326108,BELLAS ARTES DEL PERU-LIMA
16,171061928,BELLAS ARTES DQT FILIAL CANCHIS
17,170702829,BELLAS ARTES MACEDONIO DE LA TORRE
18,170695528,CARLOS BACA FLOR
19,170394098,CARLOS VALDERRAMA
20,171637859,CHABUCA GRANDA
21,170326124,CONSERVATORIO NACIONAL DE MÚSICA
22,271124031,CORRIENTE ALTERNA
23,170673061,DANIEL ALOMÍA ROBLES
24,170699702,DE FORMACION ARTISTICA-HUARAZ
25,170817544,EDUARDO MEZA SARAVIA
26,171130210,ERNESTO LÓPEZ MINDREAU
27,170326132,NACIONAL DE BALLET
28,171345198,ESCUELA NACIONAL SUPERIOR AUTONOMA DE BELLAS ARTES DEL PERU-CHACHAPOYAS
29,170768630,ESCUELA SUPERIOR DE FORMACION ARTISTICA-BAGUA
30,170419960,ESCUELA SUPERIOR DE MUSICA CONDORCUNCA
