"id","code","name"
occupation_work_personnel_training_modality_11001,11001,"MARINA, OFICIALES",
occupation_work_personnel_training_modality_11002,11002,"EJERCITO,OFICIALES",
occupation_work_personnel_training_modality_11003,11003,"AVIACION, OFICIAL",
occupation_work_personnel_training_modality_12001,12001,"MARINA, TECNICOS",
occupation_work_personnel_training_modality_12002,12002,"EJERCITO, TECNICOS",
occupation_work_personnel_training_modality_12003,12003,"AVIACION, TECNICOS",
occupation_work_personnel_training_modality_13001,13001,"MARINA, SUB OFICIALES",
occupation_work_personnel_training_modality_13002,13002,"EJERCITO, SUB OFICIALES",
occupation_work_personnel_training_modality_13003,13003,"AVIACION, SUB OFICIALES",
occupation_work_personnel_training_modality_14001,14001,"MARINA, PERSONAL DE SERVICIO MILITAR",
occupation_work_personnel_training_modality_14002,14002,"EJERCITO, PERSONAL DE SERVICIO MILITAR",
occupation_work_personnel_training_modality_14003,14003,"AVIACION, PERSONAL DE SERVICIO MILITAR",
occupation_work_personnel_training_modality_15001,15001,MILITAR NO ESPECIFICADO,
occupation_work_personnel_training_modality_21001,21001,"POLICIA NACIONAL, OFICIALES",
occupation_work_personnel_training_modality_22001,22001,"POLICIA NACIONAL, TECNICOS",
occupation_work_personnel_training_modality_23001,23001,"POLICIA NACIONAL, SUB OFICIALES",
occupation_work_personnel_training_modality_24001,24001,POLICIA NO ESPECIFICADO,
occupation_work_personnel_training_modality_111001,111001,CANCILLER,
occupation_work_personnel_training_modality_111002,111002,CONGRESISTA,
occupation_work_personnel_training_modality_111003,111003,"CONSEJERO, GOBIERNO",
occupation_work_personnel_training_modality_111004,111004,CONSULES EN FUNCION (PERUANOS),
occupation_work_personnel_training_modality_111005,111005,CONTRALOR GENERAL,
occupation_work_personnel_training_modality_111006,111006,DIPUTADO,
occupation_work_personnel_training_modality_111007,111007,EMBAJADORES EN FUNCION (PERUANOS),
occupation_work_personnel_training_modality_111008,111008,FISCAL DE LA NACION,
occupation_work_personnel_training_modality_111009,111009,PRESIDENTE DE GOBIERNO REGIONAL,
occupation_work_personnel_training_modality_111010,111010,JEFE DE ORGANISMO DE DESARROLLO,
occupation_work_personnel_training_modality_111011,111011,LEGISLADOR,
occupation_work_personnel_training_modality_111012,111012,"MINISTRO, DE ESTADO",
occupation_work_personnel_training_modality_111013,111013,MINISTRO PLENIPOTENCIARIO,
occupation_work_personnel_training_modality_111014,111014,PREFECTO,
occupation_work_personnel_training_modality_111015,111015,PRESIDENTE DE LA REPUBLICA,
occupation_work_personnel_training_modality_111016,111016,"PRESIDENTE, CAMARA DE DIPUTADOS",
occupation_work_personnel_training_modality_111017,111017,"PRESIDENTE, CAMARA DE SENADORES",
occupation_work_personnel_training_modality_111018,111018,"PRESIDENTE, CONGRESO CONSTITUYENTE DEMOCRATICO (CCD)",
occupation_work_personnel_training_modality_111019,111019,PRESIDENTE DE LA CORTE SUPREMA,
occupation_work_personnel_training_modality_111020,111020,PRIMER MINISTRO,
occupation_work_personnel_training_modality_111021,111021,PROCURADOR GENERAL,
occupation_work_personnel_training_modality_111022,111022,SECRETARIO DE ESTADO,
occupation_work_personnel_training_modality_111023,111023,SENADOR,
occupation_work_personnel_training_modality_111024,111024,SUB-PREFECTO,
occupation_work_personnel_training_modality_111025,111025,VICE-MINISTRO (DIRECTOR SUPERIOR),
occupation_work_personnel_training_modality_111026,111026,VICE-PRESIDENTE DE LA REPUBLICA,
occupation_work_personnel_training_modality_111027,111027,VICE-PRESIDENTE DEL CONGRESO CONSTITUYENTE DEMOCRATICO (CCD,
occupation_work_personnel_training_modality_112001,112001,"ADMINISTRADOR, ADMINISTRACION PUBLICA",
occupation_work_personnel_training_modality_112002,112002,ALCALDE,
occupation_work_personnel_training_modality_112003,112003,"AUDITOR GENERAL, ADMINISTRACION PUBLICA",
occupation_work_personnel_training_modality_112004,112004,DIRECTOR,
occupation_work_personnel_training_modality_112005,112005,DIRECTOR DE LA ADMINISTRACION PUBLICA,
occupation_work_personnel_training_modality_112006,112006,DIRECTOR EJECUTIVO DE LA ADMINISTRACION PUBLICA,
occupation_work_personnel_training_modality_112007,112007,"DIRECTOR GENERAL, ADMINISTRACION DE CORREOS",
occupation_work_personnel_training_modality_112008,112008,"DIRECTOR GENERAL, ADMINISTRACION PENITENCIARIA",
occupation_work_personnel_training_modality_112009,112009,"DIRECTOR GENERAL, ADMINISTRACION PUBLICA",
occupation_work_personnel_training_modality_112010,112010,"DIRECTOR GENERAL, ADMINISTRACION PUBLICA/MINISTERIO",
occupation_work_personnel_training_modality_112011,112011,"DIRECTOR GENERAL, ADMINISTRACION PUBLICA/REGION",
occupation_work_personnel_training_modality_112012,112012,"DIRECTOR GENERAL, CANCILLERIA",
